ticker,cik,sic,ff12,ff48,ff49,ff_label,sic_desc
CSX,277948,4011.0,12,-1,-1,Other,
DEO,835403,2080.0,1,-1,-1,NoDur,
BMWKY,1446250,8880.0,12,-1,-1,Other,
AMX,1129137,4813.0,7,-1,-1,Telcm,
TFC,92230,6021.0,11,-1,-1,Money,
KMI,1506307,4922.0,8,-1,-1,Utils,
REGN,872589,2834.0,10,-1,-1,Hlth,
CPNG,1834584,5961.0,9,-1,-1,Shops,
ET,1276187,4922.0,8,-1,-1,Utils,
CNI,16868,4011.0,12,-1,-1,Other,
AEP,4904,4911.0,8,-1,-1,Utils,
COR,1140859,5122.0,9,-1,-1,Shops,
MRVL,1835632,3674.0,6,-1,-1,BusEq,
AXON,1069183,3480.0,3,-1,-1,Manuf,
NWG,844150,6029.0,11,-1,-1,Money,
ARES,1176948,6282.0,11,-1,-1,Money,
DLR,1297996,6798.0,11,-1,-1,Money,
AFL,4977,6321.0,11,-1,-1,Money,
NXPI,1413447,3674.0,6,-1,-1,BusEq,
ROP,882835,3823.0,6,-1,-1,BusEq,
MPC,1510295,2911.0,4,-1,-1,Enrgy,
PWR,1050915,1731.0,12,-1,-1,Other,
GM,1467858,3711.0,2,-1,-1,Durbl,
FAST,815556,5200.0,9,-1,-1,Shops,
BDX,10795,3841.0,10,-1,-1,Hlth,
NDAQ,1120193,6200.0,11,-1,-1,Money,
CMI,26172,3510.0,3,-1,-1,Manuf,
O,726728,6798.0,11,-1,-1,Money,
CARR,1783180,3585.0,3,-1,-1,Manuf,
SRE,1032208,4932.0,8,-1,-1,Utils,
TRP,1232384,4922.0,8,-1,-1,Utils,
SLB,87347,1389.0,4,-1,-1,Enrgy,
PSX,1534701,2911.0,4,-1,-1,Enrgy,
FDX,1048911,4513.0,12,-1,-1,Other,
DHI,882184,1531.0,12,-1,-1,Other,
CMG,1058090,5812.0,9,-1,-1,Shops,
MET,1099219,6311.0,11,-1,-1,Money,
ALL,899051,6331.0,11,-1,-1,Money,
IDXX,874716,2835.0,10,-1,-1,Hlth,
E,1002242,1311.0,4,-1,-1,Enrgy,
MFC,1086888,6311.0,11,-1,-1,Money,
LNG,3570,4924.0,8,-1,-1,Utils,
FLUT,1635327,7370.0,6,-1,-1,BusEq,
PCAR,75362,3711.0,2,-1,-1,Durbl,
MPLX,1552000,4610.0,12,-1,-1,Other,
PSA,1393311,6798.0,11,-1,-1,Money,
LHX,202058,3812.0,6,-1,-1,BusEq,
D,715957,4911.0,8,-1,-1,Utils,
SU,311337,2911.0,4,-1,-1,Enrgy,
B,756894,1040.0,12,-1,-1,Other,
CTVA,1755672,100.0,1,-1,-1,NoDur,
DDOG,1561550,7372.0,6,-1,-1,BusEq,
CRWV,1769628,7372.0,6,-1,-1,BusEq,
IFNNY,1107457,3674.0,6,-1,-1,BusEq,
ROST,745732,5651.0,9,-1,-1,Shops,
TAK,1395064,2834.0,10,-1,-1,Hlth,
PTCAY,1547873,8880.0,12,-1,-1,Other,
PAYX,723531,8700.0,12,-1,-1,Other,
CBRE,1138118,6500.0,11,-1,-1,Money,
JD,1549802,5990.0,9,-1,-1,Shops,
VLO,1035002,2911.0,4,-1,-1,Enrgy,
GWW,277135,5000.0,9,-1,-1,Shops,
VRT,1674101,3679.0,6,-1,-1,BusEq,
EONGY,1136808,4900.0,8,-1,-1,Utils,
ARGX,1697862,2836.0,10,-1,-1,Hlth,
EW,1099800,3842.0,10,-1,-1,Hlth,
WCN,1318220,4953.0,12,-1,-1,Other,
TCOM,1269238,7389.0,12,-1,-1,Other,
XYZ,1512673,7372.0,6,-1,-1,BusEq,
AMP,820027,6282.0,11,-1,-1,Money,
CPRT,900075,5500.0,9,-1,-1,Shops,
GRMN,1121788,3812.0,6,-1,-1,BusEq,
FERG,2011641,5070.0,9,-1,-1,Shops,
WPM,1323404,1040.0,12,-1,-1,Other,
F,37996,3711.0,2,-1,-1,Durbl,
IMO,49938,2911.0,4,-1,-1,Enrgy,
TEAM,1650372,7372.0,6,-1,-1,BusEq,
HMC,715153,3711.0,2,-1,-1,Durbl,
OKE,1039684,4923.0,8,-1,-1,Utils,
RDDT,1713445,7374.0,6,-1,-1,BusEq,
BKR,1701605,3533.0,3,-1,-1,Manuf,
KR,56873,5411.0,9,-1,-1,Shops,
OXY,797468,1311.0,4,-1,-1,Enrgy,
VEEV,1393052,7372.0,6,-1,-1,BusEq,
TTWO,946581,7372.0,6,-1,-1,BusEq,
HLN,1900304,2844.0,5,-1,-1,Chems,
MSCI,1408198,7389.0,12,-1,-1,Other,
CVNA,1690820,5500.0,9,-1,-1,Shops,
EXC,1109357,4931.0,8,-1,-1,Utils,
AIG,5272,6331.0,11,-1,-1,Money,
KMB,55785,2670.0,3,-1,-1,Manuf,
AME,1037868,3823.0,6,-1,-1,BusEq,
RKT,1805284,6162.0,11,-1,-1,Money,
VALE,917851,1000.0,12,-1,-1,Other,
CCL,815097,4400.0,12,-1,-1,Other,
GALDY,2021390,,12,-1,-1,Other,
ZS,1713683,7371.0,6,-1,-1,BusEq,
XEL,72903,4931.0,8,-1,-1,Utils,
EBAY,1065088,7389.0,12,-1,-1,Other,
TGT,27419,5331.0,9,-1,-1,Shops,
CCEP,1650107,2086.0,1,-1,-1,NoDur,
EA,712515,7372.0,6,-1,-1,BusEq,
CCI,1051470,6798.0,11,-1,-1,Money,
MPWR,1280452,3674.0,6,-1,-1,BusEq,
RMD,943819,3841.0,10,-1,-1,Hlth,
YUM,1041061,5812.0,9,-1,-1,Shops,
ONC,1651308,2834.0,10,-1,-1,Hlth,
PEG,788784,4931.0,8,-1,-1,Utils,
BSBR,1471055,6029.0,11,-1,-1,Money,
FER,1468522,1600.0,12,-1,-1,Other,
DAL,27904,4512.0,12,-1,-1,Other,
LYV,1335258,7900.0,12,-1,-1,Other,
FANG,1539838,1311.0,4,-1,-1,Enrgy,
FRFHF,915191,6331.0,11,-1,-1,Money,
ALC,1167379,3851.0,10,-1,-1,Hlth,
ETR,65984,4911.0,8,-1,-1,Utils,
VMC,1396009,1400.0,12,-1,-1,Other,
ROK,1024478,3829.0,6,-1,-1,BusEq,
HEI,46619,3724.0,3,-1,-1,Manuf,
SYY,96021,5140.0,9,-1,-1,Shops,
TME,1744676,4832.0,7,-1,-1,Telcm,
HSY,47111,2060.0,1,-1,-1,NoDur,
FNV,1456346,1040.0,12,-1,-1,Other,
CUK,1125259,4400.0,12,-1,-1,Other,
KDP,1418135,2080.0,1,-1,-1,NoDur,
BIDU,1329099,7370.0,6,-1,-1,BusEq,
CSGP,1057352,7389.0,12,-1,-1,Other,
DIA,1041130,,12,-1,-1,Other,
PRU,1137774,6311.0,11,-1,-1,Money,
FICO,814547,7389.0,12,-1,-1,Other,
LVS,1300514,7011.0,12,-1,-1,Other,
MLM,916076,1400.0,12,-1,-1,Other,
CHLSY,1885110,,12,-1,-1,Other,
VRSK,1442145,7374.0,6,-1,-1,BusEq,
HIG,874766,6331.0,11,-1,-1,Money,
GWLIF,850918,6311.0,11,-1,-1,Money,
KVUE,1944048,2844.0,5,-1,-1,Chems,
STX,1137789,3572.0,6,-1,-1,BusEq,
CAH,721371,5122.0,9,-1,-1,Shops,
CHTR,1091667,4841.0,7,-1,-1,Telcm,
GEHC,1932393,3844.0,10,-1,-1,Hlth,
FIS,1136893,7389.0,12,-1,-1,Other,
A,1090872,3826.0,6,-1,-1,BusEq,
TRGP,1389170,4922.0,8,-1,-1,Utils,
ALAB,1736297,3674.0,6,-1,-1,BusEq,
ABEV,1565025,2080.0,1,-1,-1,NoDur,
VICI,1705696,6798.0,11,-1,-1,Money,
LEN,920760,1520.0,12,-1,-1,Other,
FMX,1061736,2086.0,1,-1,-1,NoDur,
ED,1047862,4931.0,8,-1,-1,Utils,
MCHP,827054,3674.0,6,-1,-1,BusEq,
CTSH,1058290,7371.0,6,-1,-1,BusEq,
JBS,1791942,2011.0,1,-1,-1,NoDur,
OTIS,1781335,3600.0,3,-1,-1,Manuf,
CHT,1132924,4812.0,7,-1,-1,Telcm,
PUK,1116578,6311.0,11,-1,-1,Money,
XYL,1524472,3561.0,3,-1,-1,Manuf,
WEC,783325,4931.0,8,-1,-1,Utils,
UAL,100517,4512.0,12,-1,-1,Other,
CCJ,1009001,1090.0,12,-1,-1,Other,
ACGL,947484,6331.0,11,-1,-1,Money,
MDY,936958,,12,-1,-1,Other,
RJF,720005,6211.0,11,-1,-1,Money,
PCG,1004980,4931.0,8,-1,-1,Utils,
HUM,49071,6324.0,11,-1,-1,Money,
